FECHA;# MUERTES;
26/9/2020;1;China
24/9/2020;1;China
19/9/2020;1;China
16/9/2020;1;China
15/9/2020;1;China
13/9/2020;1;China
9/9/2020;1;China
8/9/2020;2;China
7/9/2020;2;China
4/9/2020;1;China
3/9/2020;3;China
2/9/2020;1;China
1/9/2020;1;China
31/8/2020;1;China
30/8/2020;3;China
29/8/2020;3;China
28/8/2020;2;China
27/8/2020;1;China
26/8/2020;1;China
22/8/2020;2;China
21/8/2020;3;China
20/8/2020;1;China
19/8/2020;2;China
16/8/2020;2;China
15/8/2020;1;China
14/8/2020;3;China
13/8/2020;4;China
12/8/2020;3;China
11/8/2020;4;China
10/8/2020;5;China
8/8/2020;1;China
7/8/2020;3;China
6/8/2020;1;China
5/8/2020;4;China
4/8/2020;3;China
3/8/2020;2;China
2/8/2020;6;China
1/8/2020;2;China
30/7/2020;2;China
29/7/2020;1;China
28/7/2020;4;China
26/7/2020;2;China
25/7/2020;1;China
24/7/2020;1;China
22/7/2020;2;China
19/7/2020;1;China
18/7/2020;1;China
16/7/2020;2;China
14/7/2020;1;China
26/6/2020;1;China
24/6/2020;1;China
21/6/2020;1;China
17/5/2020;1;China
27/4/2020;1;China
17/4/2020;1290;China
15/4/2020;1;China
13/4/2020;2;China
11/4/2020;3;China
10/4/2020;1;China
9/4/2020;2;China
8/4/2020;2;China
6/4/2020;2;China
5/4/2020;3;China
4/4/2020;4;China
3/4/2020;10;China
2/4/2020;6;China
1/4/2020;1;China
31/3/2020;3;China
30/3/2020;2;China
29/3/2020;5;China
28/3/2020;3;China
27/3/2020;5;China
26/3/2020;6;China
25/3/2020;4;China
24/3/2020;7;China
23/3/2020;9;China
22/3/2020;6;China
21/3/2020;6;China
20/3/2020;4;China
19/3/2020;8;China
18/3/2020;16;China
17/3/2020;9;China
16/3/2020;13;China
15/3/2020;9;China
14/3/2020;15;China
13/3/2020;7;China
12/3/2020;11;China
11/3/2020;22;China
10/3/2020;17;China
9/3/2020;23;China
8/3/2020;27;China
7/3/2020;28;China
6/3/2020;30;China
5/3/2020;31;China
4/3/2020;37;China
3/3/2020;32;China
2/3/2020;42;China
1/3/2020;35;China
29/2/2020;47;China
28/2/2020;44;China
27/2/2020;29;China
26/2/2020;52;China
25/2/2020;70;China
24/2/2020;150;China
23/2/2020;98;China
22/2/2020;109;China
21/2/2020;118;China
20/2/2020;112;China
19/2/2020;139;China
18/2/2020;98;China
17/2/2020;105;China
16/2/2020;142;China
15/2/2020;143;China
14/2/2020;13;China
13/2/2020;254;China
12/2/2020;97;China
11/2/2020;108;China
10/2/2020;97;China
9/2/2020;89;China
8/2/2020;86;China
7/2/2020;73;China
6/2/2020;72;China
5/2/2020;66;China
4/2/2020;65;China
3/2/2020;57;China
2/2/2020;45;China
1/2/2020;46;China
31/1/2020;43;China
30/1/2020;38;China
29/1/2020;26;China
28/1/2020;25;China
27/1/2020;25;China
26/1/2020;15;China
25/1/2020;15;China
24/1/2020;9;China
22/1/2020;11;China
21/1/2020;3;China
19/1/2020;1;China
15/1/2020;1;China
11/1/2020;1;China
