FECHA;# CONTAGIOS
14/12/2020;486
13/12/2020;231
12/12/2020;422
9/12/2020;396
7/12/2020;214
6/12/2020;413
4/12/2020;588
2/12/2020;189
1/12/2020;536
27/11/2020;521
24/11/2020;322
23/11/2020;312
21/11/2020;141
20/11/2020;144
19/11/2020;296
17/11/2020;311
15/11/2020;163
14/11/2020;165
13/11/2020;885
7/11/2020;363
6/11/2020;767
2/11/2020;570
30/10/2020;520
27/10/2020;340
25/10/2020;164
24/10/2020;159
23/10/2020;142
22/10/2020;145
21/10/2020;309
19/10/2020;210
18/10/2020;191
17/10/2020;204
16/10/2020;295
15/10/2020;286
14/10/2020;284
12/10/2020;245
10/10/2020;109
8/10/2020;105
7/10/2020;94
6/10/2020;193
5/10/2020;92
4/10/2020;183
2/10/2020;98
1/10/2020;96
30/9/2020;172
29/9/2020;179
28/9/2020;215
26/9/2020;214
25/9/2020;247
23/9/2020;156
22/9/2020;245
21/9/2020;125
20/9/2020;82
19/9/2020;97
18/9/2020;86
16/9/2020;75
15/9/2020;79
14/9/2020;81
13/9/2020;77
12/9/2020;163
11/9/2020;86
10/9/2020;91
9/9/2020;98
8/9/2020;105
6/9/2020;209
5/9/2020;99
4/9/2020;96
2/9/2020;84
1/9/2020;91
31/8/2020;94
30/8/2020;220
29/8/2020;131
28/8/2020;144
27/8/2020;154
26/8/2020;175
25/8/2020;189
24/8/2020;202
22/8/2020;456
21/8/2020;247
20/8/2020;255
19/8/2020;269
18/8/2020;281
17/8/2020;293
16/8/2020;305
15/8/2020;321
14/8/2020;349
13/8/2020;375
12/8/2020;397
11/8/2020;449
10/8/2020;445
9/8/2020;434
8/8/2020;418
7/8/2020;425
6/8/2020;439
5/8/2020;419
4/8/2020;395
3/8/2020;398
2/8/2020;418
1/8/2020;402
31/7/2020;389
30/7/2020;395
29/7/2020;411
28/7/2020;405
27/7/2020;409
26/7/2020;429
25/7/2020;415
24/7/2020;402
23/7/2020;393
22/7/2020;375
21/7/2020;361
20/7/2020;338
19/7/2020;301
18/7/2020;250
17/7/2020;312
16/7/2020;342
15/7/2020;325
14/7/2020;304
13/7/2020;283
12/7/2020;249
11/7/2020;298
10/7/2020;278
9/7/2020;259
8/7/2020;280
7/7/2020;250
6/7/2020;270
5/7/2020;240
4/7/2020;267
3/7/2020;264
2/7/2020;298
1/7/2020;265
30/6/2020;239
28/6/2020;417
27/6/2020;181
26/6/2020;186
25/6/2020;177
24/6/2020;165
23/6/2020;182
21/6/2020;297
20/6/2020;129
19/6/2020;134
18/6/2020;125
17/6/2020;115
16/6/2020;106
15/6/2020;117
14/6/2020;122
12/6/2020;207
11/6/2020;83
10/6/2020;87
9/6/2020;89
8/6/2020;81
7/6/2020;85
6/6/2020;68
5/6/2020;76
4/6/2020;52
3/6/2020;71
2/6/2020;65
31/5/2020;239
30/5/2020;84
29/5/2020;85
28/5/2020;67
27/5/2020;59
26/5/2020;68
25/5/2020;96
24/5/2020;94
23/5/2020;85
22/5/2020;69
21/5/2020;73
20/5/2020;85
19/5/2020;75
18/5/2020;73
16/5/2020;55
15/5/2020;98
14/5/2020;75
13/5/2020;39
12/5/2020;40
11/5/2020;69
10/5/2020;105
9/5/2020;89
7/5/2020;108
5/5/2020;32
4/5/2020;109
2/5/2020;22
1/5/2020;47
30/4/2020;32
29/4/2020;22
28/4/2020;25
26/4/2020;37
25/4/2020;11
24/4/2020;13
23/4/2020;12
22/4/2020;7
21/4/2020;17
20/4/2020;11
19/4/2020;13
18/4/2020;13
17/4/2020;5
15/4/2020;10
14/4/2020;24
13/4/2020;7
11/4/2020;1
10/4/2020;14
9/4/2020;25
7/4/2020;9
6/4/2020;7
5/4/2020;6
4/4/2020;10
3/4/2020;5
2/4/2020;9
31/3/2020;2
30/3/2020;11
29/3/2020;6
26/3/2020;4
25/3/2020;4
24/3/2020;2
21/3/2020;2
19/3/2020;1
