FECHA;# MUERTES
14/12/2020;1
13/12/2020;3
12/12/2020;3
11/12/2020;7
10/12/2020;9
9/12/2020;6
7/12/2020;1
6/12/2020;4
5/12/2020;3
4/12/2020;8
3/12/2020;3
2/12/2020;9
1/12/2020;9
30/11/2020;4
29/11/2020;6
28/11/2020;7
27/11/2020;4
26/11/2020;19
25/11/2020;10
24/11/2020;2
22/11/2020;18
17/11/2020;16
16/11/2020;1
15/11/2020;2
14/11/2020;16
13/11/2020;7
12/11/2020;17
11/11/2020;15
10/11/2020;14
9/11/2020;6
8/11/2020;4
7/11/2020;5
6/11/2020;6
5/11/2020;24
4/11/2020;18
3/11/2020;13
2/11/2020;3
1/11/2020;3
31/10/2020;8
30/10/2020;9
29/10/2020;13
28/10/2020;6
27/10/2020;10
26/10/2020;6
25/10/2020;5
24/10/2020;8
23/10/2020;8
22/10/2020;14
21/10/2020;6
20/10/2020;8
19/10/2020;5
18/10/2020;7
17/10/2020;4
16/10/2020;19
15/10/2020;5
14/10/2020;7
13/10/2020;9
12/10/2020;8
11/10/2020;12
10/10/2020;15
9/10/2020;11
8/10/2020;19
7/10/2020;14
6/10/2020;11
5/10/2020;23
4/10/2020;13
3/10/2020;6
2/10/2020;27
1/10/2020;30
30/9/2020;22
29/9/2020;12
28/9/2020;1
27/9/2020;17
26/9/2020;22
25/9/2020;27
24/9/2020;16
23/9/2020;2
22/9/2020;20
21/9/2020;18
20/9/2020;20
19/9/2020;24
18/9/2020;20
17/9/2020;15
15/9/2020;8
14/9/2020;14
13/9/2020;7
12/9/2020;9
11/9/2020;5
10/9/2020;10
9/9/2020;11
8/9/2020;16
7/9/2020;1
6/9/2020;22
5/9/2020;30
4/9/2020;30
3/9/2020;36
2/9/2020;15
1/9/2020;15
31/8/2020;16
30/8/2020;15
29/8/2020;24
28/8/2020;56
27/8/2020;64
25/8/2020;29
24/8/2020;11
23/8/2020;11
22/8/2020;13
21/8/2020;11
20/8/2020;15
19/8/2020;10
18/8/2020;8
17/8/2020;8
16/8/2020;19
15/8/2020;6
14/8/2020;9
13/8/2020;18
12/8/2020;9
11/8/2020;11
10/8/2020;19
9/8/2020;11
8/8/2020;19
7/8/2020;23
6/8/2020;23
5/8/2020;16
4/8/2020;7
3/8/2020;9
2/8/2020;31
1/8/2020;25
31/7/2020;53
30/7/2020;45
29/7/2020;48
28/7/2020;50
27/7/2020;18
26/7/2020;37
25/7/2020;50
24/7/2020;5
23/7/2020;18
22/7/2020;53
21/7/2020;35
20/7/2020;9
19/7/2020;34
18/7/2020;22
17/7/2020;10
16/7/2020;18
15/7/2020;18
14/7/2020;15
13/7/2020;3
12/7/2020;21
11/7/2020;46
10/7/2020;10
9/7/2020;17
8/7/2020;21
7/7/2020;17
6/7/2020;10
5/7/2020;24
4/7/2020;14
3/7/2020;49
2/7/2020;45
1/7/2020;12
30/6/2020;6
28/6/2020;8
27/6/2020;45
26/6/2020;9
25/6/2020;12
24/6/2020;10
23/6/2020;32
22/6/2020;5
21/6/2020;9
20/6/2020;6
19/6/2020;7
18/6/2020;6
17/6/2020;8
16/6/2020;10
15/6/2020;2
14/6/2020;4
13/6/2020;12
12/6/2020;4
11/6/2020;19
10/6/2020;9
9/6/2020;4
8/6/2020;8
7/6/2020;2
6/6/2020;5
5/6/2020;9
4/6/2020;9
3/6/2020;8
2/6/2020;5
1/6/2020;11
31/5/2020;2
30/5/2020;3
29/5/2020;2
28/5/2020;6
27/5/2020;6
26/5/2020;2
25/5/2020;6
24/5/2020;7
23/5/2020;11
22/5/2020;5
21/5/2020;4
20/5/2020;1
19/5/2020;4
18/5/2020;4
17/5/2020;4
16/5/2020;1
15/5/2020;10
14/5/2020;2
13/5/2020;5
12/5/2020;8
10/5/2020;1
9/5/2020;2
8/5/2020;6
7/5/2020;6
6/5/2020;11
4/5/2020;6
3/5/2020;1
1/5/2020;4
30/4/2020;5
29/4/2020;5
27/4/2020;2
26/4/2020;12
23/4/2020;1
18/4/2020;5
17/4/2020;6
16/4/2020;4
15/4/2020;5
14/4/2020;1
12/4/2020;1
11/4/2020;1
9/4/2020;1
5/4/2020;7
3/4/2020;1
2/4/2020;4
1/4/2020;3
31/3/2020;4
30/3/2020;1
29/3/2020;1
27/3/2020;1
